رقم المحضر,اسم الجامع/مسجد,الموقع,تاريخ الزيارة (هجري),التاريخ الميلادي (تقريبي),المسببات,الإجراء المتخذ,رقم عداد الكهرباء,نوع المخالفة,Unnamed: 9
218,مسجد البيز,نخيلان - القويعية,02/03/1447,26/08/2025,استحداث مرفق –تشغيل مكيفات وانارات,تمت المعالجة,KFM2020766149366,تشغيل مكيفات او انارة خارج اوقات الصلاة,
219,مسجد محطة الاتحاد ,عفيف ,02/03/1447,26/08/2025,تعدي كهرباء أعمدة,تمت المعالجة,KFM2120660264989,تعدي للكهرباء,
220,جامع دباس العتيبي,عفيف,02/03/1447,26/08/2025,ارتباط دار تحفيظ,تمت المعالجة,KFM2020660233525,استغلال مرفق,
221,مصلى قزعان المرشدي,عفيف,02/03/1447,26/08/2025,تعدي فيلا ,تمت المعالجة,AES2120896535923,تعدي للكهرباء,
222,جامع المصيفقية,عفيف,03/03/1447,27/08/2025,تعدي مبنى مستحدث,تمت المعالجة,KFM2020766084686,تعدي للكهرباء,
223,مسجد السويد,القويعية- سنام,03/03/1447,27/08/2025,تعدي كهرباء دينمو ,تمت المعالجة,AES2120896563503,تعدي للكهرباء,
224,مسجد أبو فيصل ,الرياض- النرجس,05/03/1447,29/08/2025,تعدي أعمدة إنارة,تمت المعالجة,KFM2020660190358,تعدي للكهرباء,
225,مسجد النميص,صبحاء – القويعية,04/03/1447,28/08/2025,تعدي مياه دينمو,تمت المعالجة,KFM2020660192438,تعدي للكهرباء,
226,جامع عبدالله الوهيبي ,الرياض – النفل,10/03/1447,3/9/2025,عداد على مدرسة تحفيظ,تمت المعالجة,SMR2220661011767,استغلال مرفق,
227,مسجد الخفق القديم,هجرة النطاش- القويعية,16/03/1447,9/9/2025,تعدي كهرباء فلتين,تمت المعالجة,AES2020896459702,تعدي للكهرباء,
228,جامع الخفق الجنوبي,هجرة الخفق – القويعية,16/03/1447,9/9/2025,تعدي أعمدة إنارة,تمت المعالجة,KFM2020660228311,تعدي للكهرباء,
229,جامع الروضة,الجله وتبراك – القويعية,16/03/1447,9/9/2025,أكباس - التكييف,تمت المعالجة,,تشغيل مكيفات او انارة خارج اوقات الصلاة,
230,مسجد هجرة البيان,الجله – القويعية,16/03/1447,9/9/2025,تعدي كهرباء من بيت,تمت المعالجة,KFM202076675756,تعدي للكهرباء,
231,مسجد شريفة الجلعود,الرياض- الوادي,23/03/1447,16/09/2025,تعدي كهرباء بيت منسوب,تمت المعالجة,KFM2020660211383,تعدي للكهرباء,
232,مسجد علي الفايز,تمير,24/03/1447,17/09/2025,تعدي كهرباء ومياه,تحت الإجراء,KFM2020766034106,تعدي للكهرباء,
233,جامع احمد محمد الفايز,تمير,24/03/1447,17/09/2025,إنارات – التكييف ,تحت الإجراء,KFM2020660209951,تشغيل مكيفات او انارة خارج اوقات الصلاة,
234,مسجد ضيف الله الهريسان,الأرطاوية- المجمعة,25/03/1447,18/09/2025,تعدي كهرباء ومياه مرفق مستحدث,تحت الإجراء,ESS2020811051566,تعدي للكهرباء,
235,محطة ناصر الضاوي,المجمعة,25/03/1447,18/09/2025,عداد على مسجد مهجور,تحت الإجراء,ECC2020810690837,استغلال مرفق,
236,مسجد الشيخ صالح العواد,,جلاجل,26/03/1447,19/09/2025,عدم إغلاق دورات المياه,تحت الإجراء,AES2020896447533,تشغيل مكيفات او انارة خارج اوقات الصلاة
237,جامع ناصر محمد التركي,جلاجل,26/03/1447,19/09/2025,تشغيل الإنارات الخارجية,تحت الإجراء,SMR2420761037999,تشغيل مكيفات او انارة خارج اوقات الصلاة,
238,جامع جوي,مركز جوي,26/03/1447,19/09/2025,تشغيل الانارات الخارجية,تحت الاجراء,KFM2020660226049,تشغيل مكيفات او انارة خارج اوقات الصلاة,
239,جامع سليمان محمد الفعيم,الارطاوية,26/03/1447,19/09/2025,تشغيل الاكباس الخارجية,تحت الإجراء,KFM2020660192448,تشغيل مكيفات او انارة خارج اوقات الصلاة,
240,مسجد عقبة بن نافع,الارطاوية,26/03/1447,19/09/2025,ارتباط مغسلة أموات مع المسجد,تحت الاجراء,KFM2020766154310,أخرى,
241,جامع عثمان بن عفان,الارطاوية,26/03/1447,19/09/2025,تشغيل الانارات الخارجية,تحت الاجراء,KFM2020660188300,تشغيل مكيفات او انارة خارج اوقات الصلاة,
242,مسجد الشيخ علي بن حمد السناني,المجمعة,26/03/1447,19/09/2025,تشغيل الانارات الخارجية,تحت الاجراء,SMR2220661018311,تشغيل مكيفات او انارة خارج اوقات الصلاة,
243,جامع عبدالعزيز الحقيل,المجمعة,26/03/1447,19/09/2025,تشغيل الانارات الخارجية,تحت الاجراء,KFM2120655001336,تشغيل مكيفات او انارة خارج اوقات الصلاة,
244,مسجد بدون اسم,المجمعة,26/03/1447,19/09/2025,تشغيل الاكباس الخارجية,تحت الاجراء,KFM2020760020374,تشغيل مكيفات او انارة خارج اوقات الصلاة,
245,مسجد حمد الدهش,المجمعة,26/03/1447,19/09/2025,تشغيل التكييف,تحت الاجراء,KFM2120660241095,تشغيل مكيفات او انارة خارج اوقات الصلاة,
246,جامع منيرة التويجري,المجمعة,26/03/1447,19/09/2025,تشغيل انارات سرحة الجامع,تحت الاجراء,KFM2020660210009,تشغيل مكيفات او انارة خارج اوقات الصلاة,
247,جامع عثمان بن عفان,المجمعة,26/03/1447,19/09/2025,تشغيل الانارات في سرحة الجامع,تحت الاجراء,KFM2020660200573,تشغيل مكيفات او انارة خارج اوقات الصلاة,
248,جامع الشيخ عبدالعزيز الربيعة,المجمعة,26/03/1447,19/09/2025,تشغيل كشافات في سرحة الجامع,تحت الاجراء,KFM2020660225947,تشغيل مكيفات او انارة خارج اوقات الصلاة,
249,جامع الكبير ,المجمعة,26/03/1447,19/09/2025, تشغيل التكييف والإنارات الخارجية ,تحت الاجراء,KFM2020660225265,تشغيل مكيفات او انارة خارج اوقات الصلاة,
250,مسجد لطيفة بنت علي الحسينان,حريملاء ,25/03/1447,18/09/2025,تشغيل الانارات الخارجية,تحت الاجراء,KFM2020760160112,تشغيل مكيفات او انارة خارج اوقات الصلاة,
251,مسجد محمد بن صالح بن عثيمين,تمير,25/03/1447,18/09/2025,تشغيل التكييف,تحت الاجراء,,تشغيل مكيفات او انارة خارج اوقات الصلاة,
252,جامع احمد بن محمد الفايز,تمير,25/03/1447,18/09/2025,تشغيل الانارات الداخلية والتكييف,تحت الاجراء,KFM2020660209951,تشغيل مكيفات او انارة خارج اوقات الصلاة,
253,جامع محمد المانع,تمير,25/03/1447,18/09/2025,تشغيل التكييف,تحت الاجراء,KFM202066019578,تشغيل مكيفات او انارة خارج اوقات الصلاة,
254,جامع الديرة ,تمير,25/03/1447,18/09/2025,تشغيل الانارات الداخلية والتكييف,تحت الاجراء,KFM2020660195715,تشغيل مكيفات او انارة خارج اوقات الصلاة,
255,جامع المنهاج الصناعية,تمير,25/03/1447,18/09/2025,عدم اغلاق دورات المياه,تحت الاجراء,KFM2020660150429,تشغيل مكيفات او انارة خارج اوقات الصلاة,
256,مسجد بدون اسم ,عشيرة سدير,25/03/1447,18/09/2025,تشغيل الانارات الداخلية والخارجية والتكييف وعدم اغلاق دورات المياه,تحت الاجراء,ECC2420831023882,تشغيل مكيفات او انارة خارج اوقات الصلاة,
257,جامع الخليفة أبو بكر الصديق,الخطامة,25/03/1447,18/09/2025,تشغيل الانارات الخارجية والتكييف,تحت الاجراء,KFM2120660273515,تشغيل مكيفات او انارة خارج اوقات الصلاة,
258,جامع عودة سدير,عودة سدير,25/03/1447,18/09/2025,تشغيل الانارات والتكييف,تحت الاجراء,KFM2020660210582,تشغيل مكيفات او انارة خارج اوقات الصلاة,
259,جامع الشهيد احمد السيف,حوطة سدير,25/03/1447,18/09/2025,تشغيل الانارات الخارجية,تحت الاجراء,KFM2020660210700,تشغيل مكيفات او انارة خارج اوقات الصلاة,
260,مسجد ابن قدامة ,روضة سدير,25/03/1447,18/09/2025,تشغيل التكييف,تحت الاجراء,KFM2020766062279,تشغيل مكيفات او انارة خارج اوقات الصلاة,
261,جامع البابطين,حوطة سدير,25/03/1447,18/09/2025,تشغيل الاكباس الخارجية الغازية,تحت الاجراء,KFM2120660279213,تشغيل مكيفات او انارة خارج اوقات الصلاة,
262,مسجد سعد التويم,حوطة سدير,25/03/1447,18/09/2025,تشغيل الاكباس الغازية الخارجية,تحت الاجراء,AES2020896450737,تشغيل مكيفات او انارة خارج اوقات الصلاة,
263,مسجد بدون اسم ,هجرة النيصية –عفيف,02/03/1447,26/08/2025,تشغيل اكباس,تمت المعالجة,AES2020896440722,تشغيل مكيفات او انارة خارج اوقات الصلاة,
264,جامع سنام,القويعية – سنام,02/03/1447,26/08/2025,وجود مرفق – مغسلة اموات,تمت المعالجة,KFM2120660238400,استغلال مرفق,
265,مسجد صوية,صوية – عفيف,02/03/1447,26/08/2025,,تمت المعالجة,KFM2020766138412,,
