رقم المحضر,اسم الجامع/مسجد,الموقع,تاريخ الزيارة (هجري),التاريخ الميلادي (تقريبي),المسببات,الإجراء المتخذ,رقم عداد الكهرباء,نوع المخالفة,Unnamed: 9
115,مصلط الشيباني,الدوادمي,07/01/1447,3/7/2025,تشغيل مكيفات – اكباس غازية,تمت المعالجة,KFM2120660241438,تشغيل مكيفات او انارة خارج اوقات الصلاة,
116,جامع الفيحاء,الدوادمي,06/01/1447,2/7/2025,تشغيل مكيفات – انارات خارجية,تمت المعالجة,KFM2020660195908,تشغيل مكيفات او انارة خارج اوقات الصلاة,
117,إبراهيم العتاني,الدوادمي,07/01/1447,3/7/2025,تشغيل مكيفات – انارات خارجية – دورت المياه مفتوحة,تمت المعالجة,SMR2020850055553,تشغيل مكيفات او انارة خارج اوقات الصلاة,
118,مسجد الخفيفة,ساجر,11/01/1447,7/7/2025,تشغيل مكيفات – انارات داخلية خارجية – دورت المياه مفتوحة,تمت المعالجة,KFM2020660210709,تشغيل مكيفات او انارة خارج اوقات الصلاة,
119,مسجد التقوى,ساجر,11/01/1447,7/7/2025,استحداث مرفق – انارات داخلية خارجية,تمت المعالجة,KFM2020660204407,تشغيل مكيفات او انارة خارج اوقات الصلاة,
120,مسجد البدرانية,ساجر,11/01/1447,7/7/2025,تعدي كهرباء بيت واعمدة انارة وحديقة,تمت المعالجة,AES2020896454948,تعدي للكهرباء,
121,جامع العلوات,الجمش,15/01/1447,11/7/2025,تعدي كهرباء بيت – تشغيل مكيفات – انارات الخارجية,تمت المعالجة,AES2020896377700,تعدي للكهرباء,
122,جامع النعيمي,ساجر,11/01/1447,7/7/2025,استغلال مرفق – اكباس غازية,تمت المعالجة,ECC2320831055029,استغلال مرفق,
123,مسجد لا يحمل اسم,الجمش,15/01/1447,11/7/2025,استغلال مرفق – اكباس غازية,تمت المعالجة,AES2020896450558,استغلال مرفق,
124,جامع ضيف الله,ساجر,11/01/1447,7/7/2025,استغلال مرفق – تشغيل مكيفات – انارات,تمت المعالجة,KFM2020660204417,استغلال مرفق,
125,مسجد لا يحمل اسم,رطاوي الرقص ساجر,11/01/1447,7/7/2025,اكباس غازية – تشغيل مكيفات,تمت المعالجة,KFM2020660208413,تشغيل مكيفات او انارة خارج اوقات الصلاة,
126,جامع المسعد,ساجر,11/01/1447,7/7/2025,استغلال مرفق – تشغيل مكيفات – اكباس غازية,تمت المعالجة,KFM202066020481,استغلال مرفق,
127,جامع البرود,ساجر,08/01/1447,4/7/2025,استغلال مرفق – تشغيل مكيفات – اكباس غازية – تحلية مياه صغيرة,تمت المعالجة,KFM2020766085501,استغلال مرفق,
128,مسجد ضيف الله,عروى,09/01/1447,5/7/2025,تشغيل اكباس غازية ولد,تمت المعالجة,KFM2020766133975,تشغيل مكيفات او انارة خارج اوقات الصلاة,
129,مطر المرشدي,الجمش,15/01/1447,11/7/2025,تعدي كهرباء تشغيل اكباس,تمت المعالجة,MMF2420801694461,تعدي للكهرباء,
130,جامع الصديق,عسيلة/البجادية,15/01/1447,11/7/2025,تعدي كهرباء من قبل مرفق,تمت المعالجة,MMF2420801282934,تعدي للكهرباء,
131,مسجد هجرة الذيابية,الذيابية/الدوادمي,08/01/1447,4/7/2025,عدم اغلاق المسجد–تشغيل انارات,تمت المعالجة,AEC2120896579381,تشغيل مكيفات او انارة خارج اوقات الصلاة,
132,مسجد العدوة,العدوة,08/01/1447,4/7/2025,اكباس غازية-تشغيل مكيفات – مرفق,تمت المعالجة,AES2120896610157,تشغيل مكيفات او انارة خارج اوقات الصلاة,
133,جامع حسين خضران,ساجر,11/01/1447,7/7/2025,تشغيل مكيفات – اكباس غازية انارات,تمت المعالجة,KFM2020660123162,تشغيل مكيفات او انارة خارج اوقات الصلاة,
134,مسجد القاع,ساجر,07/01/1447,3/7/2025,تعدي كهرباء عدد 10 أعمدة انارة,تمت المعالجة,AES2120896591647,تعدي للكهرباء,
135,مسجد الثمالة,الجمش,15/01/1447,11/7/2025,تشغيل انارات – اكباس غازية,تمت المعالجة,AES2020896471398,تشغيل مكيفات او انارة خارج اوقات الصلاة,
136,مسجد لا يحمل اسم,العرجاء,15/01/1447,11/7/2025,تشغيل المكيفات-اكباس غازية,تمت المعالجة,SMR2020850038827,تشغيل مكيفات او انارة خارج اوقات الصلاة,
137,جامع العبل,الجمش,14/01/1447,10/7/2025,تشغيل مكيفات – انارات – اكباس غازية,تمت المعالجة,KFM2020660223755,تشغيل مكيفات او انارة خارج اوقات الصلاة,
138,مسجد لا يحمل اسم,البجادية,12/01/1447,8/7/2025,تشغيل مكيفات-انارات – اكباس غازية,تمت المعالجة,MMF2420801307039,تشغيل مكيفات او انارة خارج اوقات الصلاة,
139,مسجد لا يحمل اسم,المستجدة/الجمش,12/01/1447,8/7/2025,تعدي كهرباء الى بيت –اكباس لد-تشغيل المكيفات,تمت المعالجة,AEC2020830293597,تعدي للكهرباء,
140,مسجد المحيميد,البجاديةالدوادمي,12/01/1447,8/7/2025,اكباس لد – عدم اغلاق دورات المياه,تمت المعالجة,KFM2120660238372,تشغيل مكيفات او انارة خارج اوقات الصلاة,
141,جامع القرين,الجمش الدوادمي,12/01/1447,8/7/2025,اكباس غازية – عدم اغلاق دورات المياه,تمت المعالجة,KFM2020660171136,تشغيل مكيفات او انارة خارج اوقات الصلاة,
142,مسجد لا يحمل اسم,نفي الدوادمي,15/01/1447,11/7/2025,اكباس غازية – عدم اغلاق المسجد – تشغيل المكيفات,تمت المعالجة,,تشغيل مكيفات او انارة خارج اوقات الصلاة,
